Area,Build year,Building type,Equipment,Floor,Heating system,No. of floors,Number of rooms,Renovation year,price,city,region,street
46.41,2020,Brick,Partial decoration,2,Central thermostat,4,2,0,161200,Vilnius,Užupis,Polocko g.
60,2020,Brick,Fully equipped,1,Gas,4,3,0,96000,Vilnius,Tarandė,Tarandės g.
33.63,2020,Brick,Partial decoration,1,Central,5,1,0,50370,Kaunas,Dainava,Partizanų g.
45.01,2021,Brick,Partial decoration,3,Central thermostat,4,2,0,55990,Klaipėda,Šauliai,Ragainės g.
42.59,2022,Brick,Partial decoration,2,Central thermostat,2,2,0,97600,Vilnius,Markučiai,Pakraščio g.
32.14,2021,Brick,Partial decoration,2,Central thermostat,5,1,0,52600,Vilnius,Pašilaičiai,Budiniškių g.
57.9,2021,Brick,Partial decoration,3,Central thermostat,8,3,0,82440,Kaunas,Dainava,Partizanų g.
46,2020,Brick,Partial decoration,1,Central thermostat,5,2,0,69820,Kaunas,Dainava,Partizanų g.
36.32,2019,Other,Partial decoration,7,Central thermostat,8,2,0,89800,Vilnius,Šeškinė,Siesikų g.
46,2021,Brick,Partial decoration,2,Central thermostat,5,2,0,105030,Vilnius,Šnipiškės,Linkmenų g.
106.93,1979,Brick,Fully equipped,2,Gas,5,4,2014,234900,Vilnius,Naujamiestis,T. Ševčenkos g.
124.69,1998,Monolithic,Fully equipped,2,Electric,3,4,2020,330000,Vilnius,Senamiestis,J. Basanavičiaus g.
36.38,2020,Brick,Partial decoration,4,Central thermostat,4,1,0,53520,Kaunas,Žaliakalnis,Žemaičių g.
61,1979,Block house,Fully equipped,3,Central,5,3,0,66300,Klaipėda,Žardininkai,Reikjaviko g.
148,2020,Brick,Partial decoration,2,Central thermostat,2,4,0,553850,Vilnius,Senamiestis,Pylimo g.
22.74,2021,Brick,Partial decoration,3,Central thermostat,4,1,0,42500,Vilnius,Lazdynėliai,Lazdynėlių g.
41.69,2020,Brick,Partial decoration,2,Gas,3,2,0,79900,Kaunas,Žaliakalnis,Studentų g.
72.63,2005,Brick,Fully equipped,4,Central thermostat,6,2,0,114900,Vilnius,Pašilaičiai,Justiniškių g.
63.23,1994,Brick,Fully equipped,1,"Electric, solid fuel",4,3,0,73900,Palanga,Palanga,Vasaros g.
43.5,2000,Monolithic,Fully equipped,2,Electric,5,1,0,105000,Vilnius,Žvėrynas,Sėlių g.
21,2021,Brick,Fully equipped,2,"Electric, aerothermal, other",3,2,2021,23100,Druskininkų m.,None,K. Dineikos g.
114,1985,Brick,Partial decoration,5,Central,5,5,2020,159600,Klaipėda,Centras,Danės g.
143,2020,Brick,Fully equipped,3,Gas,3,5,0,799000,Vilnius,Turniškės,Turniškių g.
52.24,2020,Brick,Partial decoration,2,Gas,3,2,0,44404,Kauno r. sav.,Užliedžių k.,Ilgoji g.
66.05,2006,Wooden house,Fully equipped,2,Electric,3,3,2016,195000,Neringos m.,None,Pervalkos g.
100.44,1860,Brick,Partial decoration,2,Central,3,3,2019,400756,Vilnius,Žvėrynas,Birutės g.
60,2020,Brick,Partial decoration,4,Central thermostat,4,3,0,90000,Klaipėda,Tauralaukis,Tauralaukio g.
31.02,2020,Monolithic,Partial decoration,2,Central,5,2,0,59800,Vilnius,Šnipiškės,Jeronimo Ralio g.
59.3,2021,Brick,Partial decoration,4,Central thermostat,4,3,0,79932,Kaunas,Žemieji Šančiai,Vokiečių g.
42.55,2021,Brick,Partial decoration,2,Central thermostat,4,2,0,58890,Kaunas,Žemieji Šančiai,Vokiečių g.
35.86,2021,Brick,Partial decoration,1,Central thermostat,4,2,0,68134,Kaunas,Žemieji Šančiai,Vokiečių g.
89,1989,Block house,Fully equipped,5,Central,9,4,0,77500,Klaipėda,Bandužiai,Markučių g.
100,1956,Brick,Fully equipped,2,Other,3,3,0,115000,Klaipėda,Poilsis,Minijos g.
63.91,2018,Brick,Partial decoration,2,Gas,4,3,0,73497,Druskininkų m.,None,Liškiavos g.
