Area,Build year,Building type,Equipment,Floor,Heating system,No. of floors,Number of rooms,Renovation year,price,city,region,street
21,2021,Brick,Fully equipped,2,"Electric, aerothermal, other",3,2,2021,23100,Druskininkų m.,K. Dineikos g.,None
114,1985,Brick,Partial decoration,5,Central,5,5,2020,159600,Klaipėda,Centras,Danės g.
143,2020,Brick,Fully equipped,3,Gas,3,5,0,799000,Vilnius,Turniškės,Turniškių g.
52.24,2020,Brick,Partial decoration,2,Gas,3,2,0,44404,Kauno r. sav.,Užliedžių k.,Ilgoji g.
100.44,1860,Brick,Partial decoration,2,Central,3,3,2019,400756,Vilnius,Žvėrynas,Birutės g.
60,2020,Brick,Partial decoration,4,Central thermostat,4,3,0,90000,Klaipėda,Tauralaukis,Tauralaukio g.
31.02,2020,Monolithic,Partial decoration,2,Central,5,2,0,59800,Vilnius,Šnipiškės,Jeronimo Ralio g.
59.3,2021,Brick,Partial decoration,4,Central thermostat,4,3,0,79932,Kaunas,Žemieji Šančiai,Vokiečių g.
42.55,2021,Brick,Partial decoration,2,Central thermostat,4,2,0,58890,Kaunas,Žemieji Šančiai,Vokiečių g.
35.86,2021,Brick,Partial decoration,1,Central thermostat,4,2,0,68134,Kaunas,Žemieji Šančiai,Vokiečių g.
89,1989,Block house,Fully equipped,5,Central,9,4,0,77500,Klaipėda,Bandužiai,Markučių g.
100,1956,Brick,Fully equipped,2,Other,3,3,0,115000,Klaipėda,Poilsis,Minijos g.
63.91,2018,Brick,Partial decoration,2,Gas,4,3,0,73497,Druskininkų m.,Liškiavos g.,None
49,2018,Brick,Partial decoration,2,Gas,4,2,0,58800,Druskininkų m.,Liškiavos g.,None
73,2020,Brick,Partial decoration,2,Aerothermal,2,3,0,112500,Palanga,Medvalakio g.,None
141,2020,Brick,Partial decoration,1,"Central, gas",1,4,0,225000,Vilnius,Lazdynėliai,Miškinių g.
86,1910,Brick,Fully equipped,3,Central,3,3,0,210000,Vilnius,Senamiestis,Pakalnės g.
80,2019,Brick,Partial decoration,3,Central,4,3,0,122000,Kaunas,Žaliakalnis,Tvirtovės al.
40.63,2020,Block house,Partial decoration,2,Central thermostat,9,2,0,54500,Kaunas,Dainava,Pramonės pr.
68.36,2020,Brick,Partial decoration,5,Central thermostat,6,3,0,156000,Kaunas,Centras,Krėvos g.
53.84,2020,Brick,Partial decoration,5,Central thermostat,6,2,0,122000,Kaunas,Centras,Krėvos g.
35.52,2020,Brick,Fully equipped,1,Other,2,2,0,103200,Palanga,Šventoji,Prieplaukos g.
55.05,2019,Other,Partial decoration,8,Central thermostat,9,3,0,176200,Vilnius,Šeškinė,Siesikų g.
114.03,2019,Other,Partial decoration,9,Central thermostat,9,3,0,216700,Vilnius,Šeškinė,Siesikų g.
42.79,2022,Brick,Partial decoration,3,Central thermostat,6,2,0,69800,Vilnius,Pašilaičiai,Budiniškių g.
31.82,2021,Brick,Partial decoration,4,Central thermostat,5,1,0,53700,Vilnius,Pašilaičiai,Budiniškių g.
90.39,2020,Brick,Partial decoration,1,Central,3,5,0,108470,Vilnius,Lazdynėliai,Bukčių g.
45.16,2022,Brick,Partial decoration,2,Central thermostat,6,2,0,101000,Vilnius,Markučiai,Pakraščio g.
65.82,2022,Brick,Partial decoration,5,Central thermostat,6,3,0,161700,Vilnius,Markučiai,Pakraščio g.
79.51,2012,Brick,Fully equipped,2,Central thermostat,3,2,0,395000,Vilnius,Senamiestis,Trakų g.
38,2020,Brick,Partial decoration,9,Central thermostat,9,2,0,96000,Kaunas,Žaliakalnis,Radvilėnų pl.
66.53,2019,Brick,Partial decoration,1,Gas,3,3,0,117000,Vilnius,Antakalnis,Pylimėlių g.
60.91,2020,Brick,Partial decoration,4,Central thermostat,6,3,0,131000,Kaunas,Centras,Krėvos g.
24.84,1967,Block house,Fully equipped,4,Central,5,2,0,53500,Vilnius,Naujininkai,Dzūkų g.
44.05,2020,Brick,Fully equipped,1,"Central, central thermostat",9,2,0,149000,Vilnius,Šeškinė,Siesikų g.
64,2020,Brick,Fully equipped,5,"Central thermostat, other",6,3,0,259000,Vilnius,Senamiestis,Rinktinės g.
65.2,2006,Brick,Fully equipped,1,Central thermostat,7,2,0,98000,Vilnius,Pilaitė,M. Jankaus g.
54,2019,Brick,Fully equipped,3,Central thermostat,3,3,0,114000,Vilnius,Pilaitė,Bitėnų g.
60,2021,Block house,Partial decoration,2,Central thermostat,9,3,0,71000,Kaunas,Dainava,Pramonės pr.
144.25,2007,Brick,Fully equipped,2,Central,3,4,0,450000,Vilnius,Verkiai,Verkių g.
144.25,2007,Brick,Fully equipped,2,Central,3,4,0,450000,Vilnius,Žirmūnai,Verkių g.
70.37,2021,Brick,Partial decoration,4,Geothermal,5,3,0,206395,Vilnius,Žvėrynas,Vilkų g.
45.8,2021,Brick,Partial decoration,4,Geothermal,5,2,0,134331,Vilnius,Žvėrynas,Vilkų g.
60,1980,Brick,Fully equipped,3,Central thermostat,5,3,0,155000,Vilnius,Antakalnis,M. K. Oginskio g.
148.54,2020,Brick,Partial decoration,2,Central thermostat,3,4,0,553417,Vilnius,Naujamiestis,K. Kalinausko g.
82.12,1940,Brick,Fully equipped,3,Central,4,3,0,360000,Vilnius,Senamiestis,J. Basanavičiaus g.
74.26,1971,Brick,Fully equipped,4,Central,5,4,0,70000,Druskininkų m.,Veisiejų g.,None
88,2021,Brick,Partial decoration,1,Gas,1,3,0,95000,Kauno r. sav.,Vijūkų k.,Jūrės g.
38.15,2020,Brick,Partial decoration,2,Central thermostat,5,2,0,91560,Vilnius,Šnipiškės,Giedraičių g.
54.34,2020,Brick,Partial decoration,3,Central thermostat,6,3,0,135850,Vilnius,Šnipiškės,Giedraičių g.
45,2021,Brick,Fully equipped,3,Central thermostat,6,2,0,83000,Vilnius,Justiniškės,Rygos g.
32,1987,Brick,Fully equipped,5,Central,6,1,0,19500,Alytus,Putinai,Putinų g.
40.07,1979,Block house,Fully equipped,1,Central,5,1,0,57499,Vilnius,Šeškinė,Dūkštų g.
24.62,1940,Log house,Other,1,Other,1,2,0,9900,Vilnius,Rasos,Perlojos g.
13.18,1940,Log house,Other,1,Other,1,1,0,5310,Vilnius,Rasos,Perlojos g.
32.42,2021,Brick,Partial decoration,2,Central thermostat,6,1,0,69700,Vilnius,Šnipiškės,Lvovo g.
43.53,2021,Brick,Partial decoration,2,Central thermostat,6,2,0,89300,Vilnius,Šnipiškės,Lvovo g.
107,2021,Brick,Partial decoration,1,Geothermal,4,4,0,342400,Vilnius,Užupis,Kreivasis skg.
107,2021,Brick,Partial decoration,2,Geothermal,4,4,0,342500,Vilnius,Užupis,Kreivasis skg.
44.32,2021,Brick,Partial decoration,3,Geothermal,4,2,0,151400,Vilnius,Užupis,Kreivasis skg.
49,2021,Brick,Fully equipped,1,Central thermostat,3,2,0,53900,Panevėžys,Centras,Parko g.
69.35,2019,Brick,Partial decoration,4,Geothermal,4,3,0,214500,Vilnius,Antakalnis,V. Grybo g.
49.15,1977,Block house,Fully equipped,8,Central,9,3,0,84800,Vilnius,Viršuliškės,Viršuliškių g.
169.17,2020,Brick,Fully equipped,2,Central thermostat,3,4,0,544788,Vilnius,Senamiestis,Pylimo g.
47.98,2008,Brick,Fully equipped,4,Central,6,2,0,95000,Vilnius,Pilaitė,M. Mažvydo g.
47.98,2008,Brick,Fully equipped,4,Central,6,2,0,95000,Vilnius,Pilaitė,M. Mažvydo g.
59.87,2009,Block house,Fully equipped,11,Central thermostat,12,3,0,95000,Vilnius,Pašilaičiai,Perkūnkiemio g.
85.96,2017,Brick,Partial decoration,1,Gas,4,3,0,122472,Kaunas,Šilainiai,Kalnų g.
63.77,1976,Block house,Fully equipped,5,Central,9,3,0,103000,Vilnius,Žirmūnai,Rinktinės g.
39.5,2021,Monolithic,Partial decoration,1,Gas,4,2,0,102700,Palanga,Šventoji,Jūros g.
38.11,2021,Monolithic,Partial decoration,4,Gas,4,2,0,74315,Palanga,Šventoji,Jūros g.
112.93,2020,Monolithic,Partial decoration,6,Central thermostat,7,4,0,357000,Vilnius,Antakalnis,Smėlio g.
67.63,2021,Brick,Partial decoration,8,Central thermostat,9,3,0,148250,Vilnius,Žirmūnai,Žvalgų g.
57.14,2021,Brick,Partial decoration,2,Central thermostat,9,3,0,112200,Vilnius,Verkiai,Žvalgų g.
40.6,2021,Brick,Partial decoration,4,Central thermostat,9,2,0,91150,Vilnius,Verkiai,Žvalgų g.
39.08,2021,Brick,Partial decoration,2,Central thermostat,9,2,0,86150,Vilnius,Verkiai,Žvalgų g.
64,2021,Brick,Fully equipped,2,Gas,2,3,0,119500,Vilnius,Kalnėnai,Albanų g.
72.53,2021,Brick,Partial decoration,2,Central thermostat,9,4,0,100000,Vilnius,Justiniškės,Rygos g.
44.54,2021,Brick,Partial decoration,3,Central thermostat,9,2,0,72000,Vilnius,Justiniškės,Rygos g.
73.53,2021,Brick,Partial decoration,3,Central thermostat,9,3,0,100000,Vilnius,Justiniškės,Rygos g.
23.64,1940,Other,Other,2,Other,2,1,0,7290,Vilnius,Naujininkai,Gudų g.
18.16,1940,Log house,Other,1,Other,1,1,0,7290,Vilnius,Rasos,Perlojos g.
33.96,1940,Wooden house,Fully equipped,1,Gas,2,2,0,99900,Vilnius,Žvėrynas,D. Poškos g.
94.47,1896,Brick,Fully equipped,3,Central,3,3,2018,360000,Vilnius,Naujamiestis,Algirdo g.
112.8,2003,Brick,Fully equipped,3,Gas,3,4,0,289000,Vilnius,Naujamiestis,Vilniaus g.
39.18,1980,Brick,Fully equipped,8,Central,12,2,0,44000,Vilnius,Naujoji Vilnia,Parko g.
63.64,1968,Block house,Fully equipped,3,Central,9,3,0,125000,Vilnius,Žirmūnai,Tuskulėnų g.
29.59,2020,Block house,Partial decoration,2,Central thermostat,7,1,0,74900,Vilnius,Naujamiestis,Naugarduko g.
25,2020,Brick,Partial decoration,4,Central thermostat,4,1,0,36490,Klaipėda,Šauliai,Ragainės g.
59.61,1940,Brick,Fully equipped,2,"Central, other",2,3,0,171000,Vilnius,Senamiestis,Vilniaus g.
37,1984,Brick,Fully equipped,1,Central,5,1,0,69000,Vilnius,Antakalnis,Debesijos g.
59.46,1911,Wooden house,Fully equipped,1,Gas,2,3,2017,119000,Vilnius,Antakalnis,Rudens g.
58.86,2020,Brick,Partial decoration,2,Central,3,2,0,153036,Druskininkų m.,Klonio g.,None
38.02,2020,Brick,Fully equipped,1,Gas,3,2,0,124000,Palanga,Vanagupės g.,None
101.44,2018,Monolithic,Fully equipped,4,Geothermal,5,4,0,359000,Druskininkų m.,T. Kosciuškos g.,None
60.95,2020,Block house,Partial decoration,9,Central thermostat,9,3,0,80000,Kaunas,Dainava,Pramonės pr.
45,2021,Brick,Partial decoration,4,Central thermostat,9,2,0,72000,Vilnius,Justiniškės,Rygos g.
65,1979,Block house,Fully equipped,3,Central,5,3,0,45000,Mažeikių m.,Taikos g.,None
33,2021,Brick,Partial decoration,1,Gas,2,2,0,62000,Palanga,Vėžių g.,None
57.7,2020,Brick,Partial decoration,6,Central thermostat,6,2,0,154000,Kaunas,Centras,Krėvos g.
76.88,2006,Brick,Fully equipped,2,Central thermostat,5,3,0,149500,Kaunas,Žaliakalnis,Žuvinto g.
70.7,1967,Brick,Fully equipped,1,Central,5,4,0,68500,Klaipėda,Kaunas,Kauno g.
65.57,2018,Monolithic,Fully equipped,2,Central thermostat,9,2,0,103000,Kaunas,Dainava,Pramonės pr.
62.99,1939,Brick,Fully equipped,3,Central thermostat,4,3,2007,142000,Kaunas,Centras,Spaustuvininkų g.
48.89,1960,Brick,Fully equipped,1,"Electric, solid fuel",2,2,2010,35000,Druskininkų sav.,Neravų k.,Neravų g.
45.77,1987,Block house,Fully equipped,5,Central,5,2,2011,36000,Prienų m.,Statybininkų g.,None
51.78,2022,Brick,Fully equipped,5,Central thermostat,6,3,0,109700,Vilnius,Pašilaičiai,Budiniškių g.
58.55,2022,Brick,Partial decoration,3,Central thermostat,6,3,0,131700,Vilnius,Markučiai,Pakraščio g.
33,2021,Brick,Partial decoration,2,Gas,2,2,0,62000,Palanga,Vėžių g.,None
35.44,2020,Brick,Fully equipped,1,Other,2,2,0,100800,Palanga,Prieplaukos g.,None
